Index,Id,Name,Location,OZONE_PPM,EpochTime,PM2_5_daily_max,PM2_5_daily_mean,OZONE,CO_PPM,PM25B_UG_M3_daily_mean,OZONE_PPM_daily_median,CO_PPB,PM25B_UG_M3,OZONE_daily_max,OZONE2_PPM,NO_PPB,OZONE_daily_mean,PM25T_UG_M3,PM2_5,OZONE2_PPM_daily_median,PM25B_UG_M3_daily_max,OZONE_PPM_daily_max,SO2_PPB,OZONE_PPM_daily_mean,OZONE_daily_median,PM25B_UG_M3_daily_median,PM10_UG_M3,PM2_5_daily_median,OZONE2_PPM_daily_mean,NO2_PPB,OZONE2_PPM_daily_max,PM10B_UG_M3,Latitude,Longitude
52,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473319800,,,,,,,175.3,,,,,,16,,,,,,,,,,,,,,,40.43743056,-79.86357222
53,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473323400,,,,,,,168.6,,,,0.5,,12,,,,,,,,,,,,7,,,40.43743056,-79.86357222
54,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473327000,,,,,,,196.2,,,,0.5,,12,,,,,,,,,,,,6.3,,,40.43743056,-79.86357222
55,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473330600,,,,,,,232.1,,,,0.6,,14,,,,,,,,,,,,8.4,,,40.43743056,-79.86357222
56,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473334200,,,,,,,196.6,,,,0.7,,14,,,,,,,,,,,,10.1,,,40.43743056,-79.86357222
57,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473337800,,,,,,,238,,,,1.9,,15,,,,,,,,,,,,9.7,,,40.43743056,-79.86357222
58,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473341400,,,,,,,270.7,,,,2.7,,15,,,,,,,,,,,,10,,,40.43743056,-79.86357222
59,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473345000,,,,,,,393.9,,,,5.1,,13,,,,,,,,,,,,13.9,,,40.43743056,-79.86357222
60,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473348600,,,,,,,364.3,,,,2.7,,13,,,,,,,,,,,,7.6,,,40.43743056,-79.86357222
61,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473352200,,,,,,,381.8,,,,1.6,,12,,,,,,,,,,,,6,,,40.43743056,-79.86357222
62,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473355800,,,,,,,310.5,,,,2,,11,,,,,,,,,,,,6.7,,,40.43743056,-79.86357222
63,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473359400,,,,,,,241,,,,0.9,,12,,,,,,,,,,,,4.6,,,40.43743056,-79.86357222
64,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473363000,,,,,,,239.7,,,,0.7,,11,,,,,,,,,,,,4,,,40.43743056,-79.86357222
65,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473366600,,,,,,,241.3,,,,0.8,,19,,,,,,,,,,,,3.6,,,40.43743056,-79.86357222
66,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473370200,,,,,,,226.2,,,,0.4,,14,,,,,,,,,,,,3.8,,,40.43743056,-79.86357222
67,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473373800,,,,,,,179.8,,,,0.2,,13,,,,,,,,,,,,3.2,,,40.43743056,-79.86357222
68,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473377400,,,,,,,190,,,,0.1,,16,,,,,,,,,,,,3.5,,,40.43743056,-79.86357222
69,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473381000,,,,,,,175,,,,0,,11,,,,,,,,,,,,3.8,,,40.43743056,-79.86357222
70,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473384600,,,,,,,226.3,,,,0.5,,13,,,,,,,,,,,,4.5,,,40.43743056,-79.86357222
71,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473388200,,,,,,,432.7,,,,2.7,,10,,,,,,,,,,,,7.8,,,40.43743056,-79.86357222
72,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473391800,,,,,,,382.1,,,,2.5,,11,,,,,,,,,,,,5.8,,,40.43743056,-79.86357222
73,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473395400,,,,,,,293.1,,,,3.2,,8,,,,,,,,,,,,6.8,,,40.43743056,-79.86357222
74,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473399000,,,,,,,242.7,,,,1.7,,8,,,,,,,,,,,,6,,,40.43743056,-79.86357222
75,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473402600,,,,,,,,,,,0.6,,7,,,,,,,,,,,,5.1,,,40.43743056,-79.86357222
76,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473406200,,,,,,,155.3,,,,,,3,,,,,,,,,,,,,,,40.43743056,-79.86357222
77,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473409800,,,,,,,215.6,,,,3.4,,2,,,,,,,,,,,,9.6,,,40.43743056,-79.86357222
78,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473413400,,,,,,,446.4,,,,7.6,,3,,,,,,,,,,,,12.7,,,40.43743056,-79.86357222
